No,Level,Nama Level,Nama Dokumen,Tentang:,Nomor,Tahun 
52,3,PP,3.30,PERLAKUAN PAJAK PENGHASILAN ATAS PENGALIHAN PARTISIPASI INTERES PADA KEGIATAN USAHA HULU MINYAK DAN GAS BUMI,93,2021
53,3,PP,3.31,PERUSAHAAN UMUM (PERUM) PENGEMBANGAN KEUANGAN KOPERASI,27,1985
54,3,PP,3.32,PERUBAHAN ATAS PERATURAN PEMERINTAH NOMOR 99 TAHUN 2013 TENTANG PENGELOLAAN ASET JAMINAN SOSIAL KETENAGAKERJAAN,55,2015
55,4,PERPRES,4.1,PENINGKATAN DAYA SAING NASIONAL DALAM RANGKA MENGHADAPI MASYARAKAT EKONOMI ASSOCIATION OF SOUTHEAST ASIAN NATIONS,6,2014
56,4,PERPRES,4.2,OPTIMALISASI PELAKSANAAN PROGRAM JAMINAN SOSIAL KETENAGAKERJAAN,2,2021
57,4,PERPRES,4.3,PERCEPATAN PENGEMBANGAN INDUSTRI FARMASI DAN ALAT KESEHATAN,6,2016
58,4,PERPRES,4.4,PELAKSANAAN KOMITMEN CETAK BIRU MASYARAKAT EKONOMI ASSOCIATION OF SOUTHEAST ASIAN NATIONS TAHUN 2011,11,2011
59,4,PERPRES,4.5,SATUAN TUGAS PERCEPATAN INVESTASI,11,2021
60,4,PERPRES,4.6,TIM KOORDINASI TERPADU PERCEPATAN PEMBANGUNAN KESEJAHTERAAN DI PROVINSI PAPUA DAN PROVINSI PAPUA BARAT,20,2020
61,4,PERPRES,4.7,DAFTAR BIDANG USAHA YANG TERTUTUP BAGI PENANAMAN MODAL,54,1993
62,4,PERPRES,4.8,"KOMITE PENGARAH PENGEMBANGAN KAWASAN EKONOMI KHUSUS DI PULAU BATAM, PULAU BINTAN DAN PULAU KARIMUN",12,2006
63,4,PERPRES,4.9,PERUBAHAN KEDUA ATAS KEPUTUSAN PRESIDEN NOMOR 3 TAHUN 2006 TENTANG TIM NASIONAL PENINGKATAN EKSPOR DAN PENINGKATAN INVESTASI,28,2010
64,4,PERPRES,4.10,GUGUS TUGAS (TASK FORCE) DALAM RANGKA IMPLEMENTASI KEBIJAKAN PENGAMPUNAN PAJAK,32,2016
65,4,PERPRES,4.11,PEMBENTUKAN TEAM PENELITIAN PELAKSANAAN PENANAMAN MODAL ASING DALAM BIDANG KEHUTANAN,37,1970
66,4,PERPRES,4.12,"KEDUDUKAN, TUGAS, FUNGSI, SUSUNAN ORGANISASI DAN TATA KERJA MENTERI NEGARA",101,1998
67,4,PERPRES,4.13,UNIT ORGANISASI DAN TUGAS ESELON I MENTERI NEGARA,108,2001
68,4,PERPRES,4.14,PERUBAHAN KEDUA ATAS KEPUTUSAN PRESIDEN NOMOR 97 TAHUN 1993 TENTANG TATA CARA PENANAMAN MODAL,117,1999
69,4,PERPRES,4.15,PERUBAHAN ATAS KEPUTUSAN PRESIDEN NOMOR 183 TAHUN 1998 TENTANG BADAN KOORDINASI PENANAMAN MODAL SEBAGAIMANA TELAH DIUBAH DENGAN KEPUTUSAN PRESIDEN NOMOR 37 TAHUN 1999,121,1999
70,4,PERPRES,4.16,SUSUNAN ORGANISASI DAN TUGAS MENTERI MUDA,176,2000
71,4,PERPRES,4.17,BADAN KOORDINASI PENANAMAN MODAL,183,1998
72,4,PERPRES,4.18,PELAYANAN TERPADU SATU PINTU DI BIDANG PENANAMAN MODAL,27,2009
73,4,PERPRES,4.19,PENUGASAN KEPADA PUSAT INVESTASI PEMERINTAH UNTUK MEMBERIKAN PINJAMAN DENGAN PERSYARATAN LUNAK KEPADA PT PERUSAHAAN LISTRIK NEGARA (PERSERO),9,2011
74,4,PERPRES,4.20,PANITIA NEGARA BAPPENAS URUSAN SUMBER-SUMBER PEMBIAYAAN,10,1964
75,4,PERPRES,4.21,PENGESAHAN CREDIT GUARANTEE AND INVESTMENT FACILITY ARTICLES OF AGREEMENT (PASAL PERSETUJUAN FASILITAS PENJAMINAN KREDIT DAN INVESTASI),23,2017
76,4,PERPRES,4.22,"SUSUNAN ORGANISASI DAN TATA KERJA, TATA CARA PENGANGKATAN, PENGGANTIAN DAN PEMBERHENTIAN ANGGOTA DEWAN JAMINAN SOSIAL NASIONAL",44,2008
77,4,PERPRES,4.23,PEMBERIAN JAMINAN DAN SUBSIDI BUNGA OLEH PEMERINTAH PUSAT DALAM RANGKA PERCEPATAN PEI.TYEDIAAN AIR MINUM,46,2019
78,4,PERPRES,4.24,SEKRETARIAT KABINET,55,2020
79,4,PERPRES,4.25,KEMENTERIAN KOORDINATOR BIDANG KEMARITIMAN DAN INVESTASI,71,2019
80,4,PERPRES,4.26,"PENATAAN TUGAS DAN FUNGSI KEMENTERIAN PENDIDIKAN, KEBUDAYAAN, RISET, DAN TEKNOLOGI DAN KEMENTERIAN INVESTASI/BADAN KOORDINASI PENANAMAN MODAL PADA KABINET INDONESIA MAJU PERIODE TAHUN 2019-2024",31,2021
81,4,PERPRES,4.27,KEMENTERIAN INVESTASI,63,2021
82,4,PERPRES,4.28,PENYELENGGARAAN NILAI EKONOMI KARBON UNTUK PENCAPAIAN TARGET KONTRIBUSI YANG DITETAPKAN SECARA NASIONAL DAN PENGENDALIAN EMISI GAS RUMAH KACA DALAM PEMBANGUNAN NASIONAL,98,2021
83,4,PERPRES,4.29,KEMENTERIAN BADAN USAHA MILIK NEGARA,41,2015
84,4,PERPRES,4.30,PENGESAHAN ASEAN COMPREHENSIVE INVESTMENT AGREEMENT (PERSETUJUAN PENANAMAN MODAL MENYELURUH ASEAN),49,2011
85,4,PERPRES,4.31,KEMENTERIAN KOORDINATOR BIDANG KEMARITIMAN DAN INVESTASI,71,2019
86,5,PERMEN,5.1,PENYERTAAN MODAL DALAM PERUSAHAAN INDUK (HOLDING),12,1999
87,5,PERMEN,5.2,"PELIMPAHAN KEWENANGAN PEMBERIAN PERSETUJUAN DAN PENGENDALIAN PENANAMAN MODAL DI DALAM KAWASAN PENGEMBANGAN EKONOMI TERPADU PULAU NATUNA KEPADA KETUA BADAN PENGELOLA PENGEMBANGAN PULAU NATUNA",33,1998
88,5,PERMEN,5.3,"PEDOMAN DAN TATA CARA PERMOHONAN PENANAMAN MODAL YANG DIDIRIKAN DALAM RANGKA PENANAMAN MODAL DALAM NEGERI DAN PENANAMAN MODAL ASING",38,1999
89,5,PERMEN,5.4,ORGANISASI DAN TATA KERJA STAF MENTERI NEGARA LINGKUNGAN HIDUP,9,2001
90,5,PERMEN,5.5,RENCANA STRATEGIS KEMENTERIAN KOORDINATOR BIDANG KEMARITIMAN DAN INVESTASI TAHUN 2020 – 2024,6,2020
91,5,PERMEN,5.6,SISTEM KLASIFIKASI KEAMANAN DAN AKSES ARSIP DINAMIS KEMENTERIAN KOORDINATOR BIDANG KEMARITIMAN DAN INVESTASI,1,2022
92,5,PERMEN,5.7,PEDOMAN KERJA SAMA DI KEMENTERIAN KOORDINATOR BIDANG KEMARITIMAN DAN INVESTASI,2,2021
