No,Level,Nama Level,Nama Dokumen,Tentang:,Nomor,Tahun 
1,4,PERPRES,4.1,PENINGKATAN DAYA SAING NASIONAL DALAM RANGKA MENGHADAPI MASYARAKAT EKONOMI ASSOCIATION OF SOUTHEAST ASIAN NATIONS,6,2014
2,4,PERPRES,4.2,OPTIMALISASI PELAKSANAAN PROGRAM JAMINAN SOSIAL KETENAGAKERJAAN,2,2021
3,4,PERPRES,4.3,PERCEPATAN PENGEMBANGAN INDUSTRI FARMASI DAN ALAT KESEHATAN,6,2016
4,4,PERPRES,4.4,PELAKSANAAN KOMITMEN CETAK BIRU MASYARAKAT EKONOMI ASSOCIATION OF SOUTHEAST ASIAN NATIONS TAHUN 2011,11,2011
5,4,PERPRES,4.5,SATUAN TUGAS PERCEPATAN INVESTASI,11,2021
6,4,PERPRES,4.6,TIM KOORDINASI TERPADU PERCEPATAN PEMBANGUNAN KESEJAHTERAAN DI PROVINSI PAPUA DAN PROVINSI PAPUA BARAT,20,2020
7,4,PERPRES,4.7,DAFTAR BIDANG USAHA YANG TERTUTUP BAGI PENANAMAN MODAL,54,1993
8,4,PERPRES,4.8,"KOMITE PENGARAH PENGEMBANGAN KAWASAN EKONOMI KHUSUS DI PULAU BATAM, PULAU BINTAN DAN PULAU KARIMUN",12,2006
9,4,PERPRES,4.9,PERUBAHAN KEDUA ATAS KEPUTUSAN PRESIDEN NOMOR 3 TAHUN 2006 TENTANG TIM NASIONAL PENINGKATAN EKSPOR DAN PENINGKATAN INVESTASI,28,2010
10,4,PERPRES,4.1,GUGUS TUGAS (TASK FORCE) DALAM RANGKA IMPLEMENTASI KEBIJAKAN PENGAMPUNAN PAJAK,32,2016
11,4,PERPRES,4.11,PEMBENTUKAN TEAM PENELITIAN PELAKSANAAN PENANAMAN MODAL ASING DALAM BIDANG KEHUTANAN,37,1970
12,4,PERPRES,4.12,"KEDUDUKAN, TUGAS, FUNGSI, SUSUNAN ORGANISASI DAN TATA KERJA MENTERI NEGARA",101,1998
13,4,PERPRES,4.13,UNIT ORGANISASI DAN TUGAS ESELON I MENTERI NEGARA,108,2001
14,4,PERPRES,4.14,PERUBAHAN KEDUA ATAS KEPUTUSAN PRESIDEN NOMOR 97 TAHUN 1993 TENTANG TATA CARA PENANAMAN MODAL,117,1999
15,4,PERPRES,4.15,PERUBAHAN ATAS KEPUTUSAN PRESIDEN NOMOR 183 TAHUN 1998 TENTANG BADAN KOORDINASI PENANAMAN MODAL SEBAGAIMANA TELAH DIUBAH DENGAN KEPUTUSAN PRESIDEN NOMOR 37 TAHUN 1999,121,1999
16,4,PERPRES,4.16,SUSUNAN ORGANISASI DAN TUGAS MENTERI MUDA,176,2000
17,4,PERPRES,4.17,BADAN KOORDINASI PENANAMAN MODAL,183,1998
18,4,PERPRES,4.18,PELAYANAN TERPADU SATU PINTU DI BIDANG PENANAMAN MODAL,27,2009
19,4,PERPRES,4.19,PENUGASAN KEPADA PUSAT INVESTASI PEMERINTAH UNTUK MEMBERIKAN PINJAMAN DENGAN PERSYARATAN LUNAK KEPADA PT PERUSAHAAN LISTRIK NEGARA (PERSERO),9,2011
20,4,PERPRES,4.2,PANITIA NEGARA BAPPENAS URUSAN SUMBER-SUMBER PEMBIAYAAN,10,1964
21,4,PERPRES,4.21,PENGESAHAN CREDIT GUARANTEE AND INVESTMENT FACILITY ARTICLES OF AGREEMENT (PASAL PERSETUJUAN FASILITAS PENJAMINAN KREDIT DAN INVESTASI),23,2017
22,4,PERPRES,4.22,"SUSUNAN ORGANISASI DAN TATA KERJA, TATA CARA PENGANGKATAN, PENGGANTIAN DAN PEMBERHENTIAN ANGGOTA DEWAN JAMINAN SOSIAL NASIONAL",44,2008
23,4,PERPRES,4.23,PEMBERIAN JAMINAN DAN SUBSIDI BUNGA OLEH PEMERINTAH PUSAT DALAM RANGKA PERCEPATAN PEI.TYEDIAAN AIR MINUM,46,2019
24,4,PERPRES,4.24,SEKRETARIAT KABINET,55,2020
25,4,PERPRES,4.25,KEMENTERIAN KOORDINATOR BIDANG KEMARITIMAN DAN INVESTASI,71,2019
26,4,PERPRES,4.26,"PENATAAN TUGAS DAN FUNGSI KEMENTERIAN PENDIDIKAN, KEBUDAYAAN, RISET, DAN TEKNOLOGI DAN KEMENTERIAN INVESTASI/BADAN KOORDINASI PENANAMAN MODAL PADA KABINET INDONESIA MAJU PERIODE TAHUN 2019-2024",31,2021
27,4,PERPRES,4.27,KEMENTERIAN INVESTASI,63,2021
28,4,PERPRES,4.28,PENYELENGGARAAN NILAI EKONOMI KARBON UNTUK PENCAPAIAN TARGET KONTRIBUSI YANG DITETAPKAN SECARA NASIONAL DAN PENGENDALIAN EMISI GAS RUMAH KACA DALAM PEMBANGUNAN NASIONAL,98,2021
29,4,PERPRES,4.29,KEMENTERIAN BADAN USAHA MILIK NEGARA,41,2015
30,4,PERPRES,4.3,PENGESAHAN ASEAN COMPREHENSIVE INVESTMENT AGREEMENT (PERSETUJUAN PENANAMAN MODAL MENYELURUH ASEAN),49,2011
31,4,PERPRES,4.31,KEMENTERIAN KOORDINATOR BIDANG KEMARITIMAN DAN INVESTASI,71,2019
